"title","type","year","length","numVotes","averageRating","director","birthYear","deathYear","genre_animation","genre_action","genre_adventure","genre_comedy","genre_documentary","genre_fantasy","genre_romance","genre_sci_fi","genre_thriller"
"Street Angel","movie",1928,102,2513,7.3,"Frank Borzage",1894,1962,0,0,0,0,0,0,0,0,0
"The Wind","movie",1928,95,6993,8,"Victor Sjöström",1879,1960,0,0,0,0,0,0,1,0,1
"Arsenal","movie",1929,93,2283,7.1,"Aleksandr Dovzhenko",1894,1956,0,0,0,0,0,0,0,0,0
"Big Business","short",1929,19,3324,7.6,"James W. Horne",1881,1942,0,0,0,1,0,0,0,0,0
"Blackmail","movie",1929,85,11634,6.9,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,0,0,1
"The Broadway Melody","movie",1929,100,7781,5.6,"Harry Beaumont",1888,1966,0,0,0,0,0,0,1,0,0
"Man with a Movie Camera","movie",1929,68,27255,8.3,"Dziga Vertov",1896,1954,0,0,0,0,1,0,0,0,0
"The Cocoanuts","movie",1929,96,8061,6.8,"Robert Florey",1900,1979,0,0,0,1,0,0,1,0,0
"Coquette","movie",1929,76,2279,5.5,"Sam Taylor",1895,1958,0,0,0,0,0,0,1,0,0
"Woman in the Moon","movie",1929,156,3765,7.2,"Fritz Lang",1890,1976,0,0,1,1,0,0,0,0,0
"The Hollywood Revue of 1929","movie",1929,130,2219,5.8,"Charles Reisner",1887,1962,0,0,0,1,0,0,0,0,0
"The Love Parade","movie",1929,107,2530,7,"Ernst Lubitsch",1892,1947,0,0,0,1,0,0,1,0,0
"The Manxman","movie",1929,110,3198,6.2,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,1,0,0
"People on Sunday","movie",1930,73,3440,7.3,"Curt Siodmak",1902,2000,0,0,0,1,0,0,1,0,0
"Queen Kelly","movie",1932,101,3330,7.1,"Erich von Stroheim",1885,1957,0,0,0,0,0,0,0,0,0
"The Skeleton Dance","short",1929,6,5932,7.6,"Walt Disney",1901,1966,1,0,0,1,0,0,0,0,0
"Spite Marriage","movie",1929,76,2443,6.9,"Edward Sedgwick",1892,1953,0,0,0,1,0,0,0,0,0
"Diary of a Lost Girl","movie",1929,104,4720,7.8,"Georg Wilhelm Pabst",1885,1967,0,0,0,0,0,0,0,0,0
"An Andalusian Dog","short",1929,16,52778,7.6,"Luis Buñuel",1900,1983,0,0,0,0,0,1,0,0,0
"All Quiet on the Western Front","movie",1930,152,66430,8.1,"Lewis Milestone",1895,1980,0,0,0,0,0,0,0,0,0
"Animal Crackers","movie",1930,97,15027,7.4,"Victor Heerman",1893,1977,0,0,0,1,0,0,0,0,0
"Anna Christie","movie",1930,89,3397,6.6,"Clarence Brown",1890,1987,0,0,0,0,0,0,1,0,0
"Another Fine Mess","short",1930,29,2548,7.3,"James Parrott",1897,1939,0,0,0,1,0,0,0,0,0
"The Big House","movie",1930,87,2497,7.1,"George W. Hill",1895,1934,0,0,0,0,0,0,0,0,1
"The Big Trail","movie",1930,125,4223,7.1,"Raoul Walsh",1887,1980,0,0,1,0,0,0,1,0,0
"The Blue Angel","movie",1930,104,15999,7.7,"Josef von Sternberg",1894,1969,0,0,0,0,0,0,0,0,0
"Brats","short",1930,21,2223,7.3,"James Parrott",1897,1939,0,0,0,1,0,0,0,0,0
"City Girl","movie",1930,77,3630,7.7,"F.W. Murnau",1888,1931,0,0,0,0,0,0,1,0,0
"The Divorcee","movie",1930,84,3461,6.7,"Robert Z. Leonard",1889,1968,0,0,0,0,0,0,1,0,0
"Hell's Angels","movie",1930,127,5760,7.3,"Edmund Goulding",1891,1959,0,0,0,0,0,0,0,0,0
"Hog Wild","short",1930,19,2171,7.4,"James Parrott",1897,1939,0,0,0,1,0,0,0,0,0
"Juno and the Paycock","movie",1929,85,2479,4.6,"Alfred Hitchcock",1899,1980,0,0,0,1,0,0,0,0,0
"Little Caesar","movie",1931,79,14142,7.2,"Mervyn LeRoy",1900,1987,0,1,0,0,0,0,0,0,0
"Morocco","movie",1930,92,7299,7,"Josef von Sternberg",1894,1969,0,0,0,0,0,0,1,0,0
"Murder!","movie",1930,104,6749,6.3,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,0,0,1
"The Blood of a Poet","movie",1932,55,7191,7.3,"Jean Cocteau",1889,1963,0,0,0,0,0,1,0,0,0
"Under the Roofs of Paris","movie",1930,96,2435,7.1,"René Clair",1898,1981,0,0,0,1,0,0,0,0,0
"Westfront 1918","movie",1930,75,2330,7.4,"Georg Wilhelm Pabst",1885,1967,0,0,0,0,0,0,1,0,0
"Earth","movie",1930,75,6241,7.2,"Aleksandr Dovzhenko",1894,1956,0,0,0,0,0,0,0,0,0
"À Propos de Nice","short",1930,24,4528,7.4,"Boris Kaufman",1906,1980,0,0,0,1,1,0,0,0,0
"The Golden Age","movie",1930,60,14580,7.2,"Luis Buñuel",1900,1983,0,0,0,1,0,0,0,0,0
